epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2163,2.67302,5.16298,1.82859,0,0,0,0,2.91748,4.86345,1.92827,0.0007,0.0007,0.0937
2,22.1635,2.54917,3.08943,1.59685,0,0,0,0,2.62874,4.54178,1.88012,0.00149257,0.00149257,0.0864926
3,32.8974,2.60755,2.70526,1.73786,0.16667,0.08824,0.09785,0.03474,2.83895,4.20538,2.45474,0.00227723,0.00227723,0.0792772
4,47.0472,2.77155,2.83535,1.86563,0.00929,0.86765,0.13723,0.03703,2.64639,3.51208,2.54153,0.00305396,0.00305396,0.072054
5,61.9609,2.93162,2.63607,1.86057,0.29421,0.27941,0.19389,0.04986,2.83354,2.71108,3.15265,0.00382278,0.00382278,0.0648228
6,76.3991,2.75806,2.51634,1.67317,0.00094,0.25,0.00065,0.00018,3.14203,66.7057,3.41033,0.00458367,0.00458367,0.0575837
7,91.3527,2.65461,2.22841,1.61182,0.00093,0.16176,0.00042,0.00012,3.92594,1241.85,11.2401,0.00533665,0.00533665,0.0503367
8,107.52,2.75875,2.48193,1.76698,0.00089,0.23529,0.00057,0.00015,3.47558,9747.9,10.576,0.0060817,0.0060817,0.0430817
9,122.259,2.55975,2.29603,1.7497,0,0,0,0,3.34894,47561.1,4.32177,0.00681884,0.00681884,0.0358188
10,140.032,2.57035,2.55386,1.66929,0,0,0,0,3.06402,54253.1,4.26842,0.00754805,0.00754805,0.0285481
11,160.144,2.5242,2.52127,1.67183,0.0015,0.39706,0.00106,0.00037,3.06086,45691.4,7.90063,0.00826935,0.00826935,0.0212694
12,177.599,2.59737,2.58449,1.59215,0,0,0,0,2.9924,49260.7,7.86954,0.00898273,0.00898273,0.0139827
13,193.269,2.63981,2.45447,1.74297,0,0,0,0,3.1075,56767.9,15.4854,0.009406,0.009406,0.009406
14,205.572,2.54018,2.40407,1.69935,0,0,0,0,3.21721,45115.6,13.0463,0.0093565,0.0093565,0.0093565
15,216.406,2.49543,2.24123,1.57683,0,0,0,0,3.39287,42528.8,14.5152,0.009307,0.009307,0.009307
16,229.068,2.54296,2.26942,1.66244,0,0,0,0,3.56785,46977.6,21.4309,0.0092575,0.0092575,0.0092575
17,241.823,2.57138,2.30884,1.69081,0,0,0,0,3.7821,51119.3,26.7731,0.009208,0.009208,0.009208
18,252.977,2.55915,2.17833,1.63415,0,0,0,0,4.0134,40835.4,32.8614,0.0091585,0.0091585,0.0091585
19,267.43,2.44364,2.2011,1.54024,0,0,0,0,3.53774,15619.8,17.3745,0.009109,0.009109,0.009109
20,282.075,2.38605,1.95852,1.5836,0.00011,0.02941,6e-05,1e-05,3.22457,11577.4,8.64324,0.0090595,0.0090595,0.0090595
21,296.352,2.29417,2.01157,1.53481,0,0,0,0,3.11307,5571.67,5.45053,0.00901,0.00901,0.00901
22,310.907,2.31946,1.89501,1.51134,0,0,0,0,3.50771,9029.06,5.00046,0.0089605,0.0089605,0.0089605
23,325.225,2.38607,1.99829,1.54418,0,0,0,0,3.4744,5831.64,4.0656,0.008911,0.008911,0.008911
24,339.686,2.37007,1.87058,1.44725,0.00012,0.02941,6e-05,1e-05,3.21957,1772.89,2.78378,0.0088615,0.0088615,0.0088615
25,354.355,2.32679,1.83475,1.51715,0.00761,0.5,0.00674,0.00214,2.73037,153.36,2.04194,0.008812,0.008812,0.008812
26,368.87,2.37716,1.9085,1.45427,0.20985,0.33824,0.23433,0.07046,2.46786,18.7997,1.83884,0.0087625,0.0087625,0.0087625
27,384.062,2.34529,2.00242,1.58522,0.00636,0.66176,0.00577,0.00212,2.40402,263.437,1.74429,0.008713,0.008713,0.008713
28,399.269,2.39222,1.8856,1.57614,0.00444,0.63235,0.00396,0.00165,2.32479,274.558,1.63043,0.0086635,0.0086635,0.0086635
29,413.57,2.29532,1.96349,1.49745,0.21672,0.32353,0.18009,0.07904,2.10762,8.05339,1.50962,0.008614,0.008614,0.008614
30,425.736,2.38964,1.94575,1.526,0.2022,0.60294,0.28981,0.10146,2.19488,5.26987,1.61253,0.0085645,0.0085645,0.0085645
31,440.15,2.65827,1.85627,1.6531,0.24154,0.44118,0.27648,0.08509,2.29297,5.35343,1.69126,0.008515,0.008515,0.008515
32,454.343,2.51017,1.86716,1.4999,0.32521,0.31188,0.32347,0.12139,2.30262,2.67651,1.7623,0.0084655,0.0084655,0.0084655
33,468.51,2.30636,1.84238,1.47227,0.28982,0.30882,0.25949,0.09214,2.46809,2.49754,1.88303,0.008416,0.008416,0.008416
34,482.884,2.58278,1.91051,1.58479,0.34887,0.27941,0.26661,0.09347,2.45051,2.33134,1.83474,0.0083665,0.0083665,0.0083665
35,497.021,2.37192,1.90759,1.52041,0.36348,0.29412,0.33161,0.12411,2.21057,2.05062,1.52018,0.008317,0.008317,0.008317
36,511.186,2.32888,1.67237,1.48939,0.37534,0.25,0.30463,0.09862,2.23944,2.11875,1.51021,0.0082675,0.0082675,0.0082675
37,525.221,2.34129,1.79199,1.55964,0.42818,0.20588,0.23134,0.07471,2.23062,3.11211,1.5197,0.008218,0.008218,0.008218
38,539.276,2.45904,1.88506,1.54739,0.36854,0.29412,0.29295,0.09474,2.26169,3.947,1.7071,0.0081685,0.0081685,0.0081685
39,553.391,2.28036,1.74003,1.44405,0.26791,0.48529,0.31455,0.11785,2.47864,2.75954,1.86,0.008119,0.008119,0.008119
40,567.561,2.25548,1.66988,1.41795,0.38811,0.47059,0.34845,0.13625,2.45741,1.97563,1.82093,0.0080695,0.0080695,0.0080695
41,582.085,2.16212,1.6297,1.35293,0.52016,0.49425,0.43859,0.15293,2.26717,1.7296,1.63229,0.00802,0.00802,0.00802
42,596.075,2.29449,1.69878,1.47333,0.3536,0.54706,0.4231,0.13818,2.23709,1.70167,1.52031,0.0079705,0.0079705,0.0079705
43,611.777,2.32999,1.71891,1.48355,0.26708,0.47059,0.31289,0.11183,2.21929,1.84254,1.4622,0.007921,0.007921,0.007921
44,627.352,2.16126,1.77945,1.42521,0.34871,0.41176,0.33735,0.11009,2.16881,1.76849,1.44521,0.0078715,0.0078715,0.0078715
45,642.359,2.18477,1.84189,1.44823,0.43654,0.39706,0.35437,0.1149,2.11554,1.834,1.43352,0.007822,0.007822,0.007822
46,656.547,2.24526,1.81157,1.38788,0.52473,0.45588,0.39097,0.12647,2.09092,2.17169,1.43084,0.0077725,0.0077725,0.0077725
47,670.857,2.10037,1.7683,1.37444,0.451,0.55882,0.42097,0.14059,2.06868,2.45385,1.4266,0.007723,0.007723,0.007723
48,685.121,2.2831,1.74784,1.42085,0.53307,0.54412,0.52603,0.17684,1.98631,2.94332,1.4012,0.0076735,0.0076735,0.0076735
49,699.343,2.17353,1.93771,1.40962,0.44673,0.55882,0.53066,0.17908,2.02374,3.46772,1.43347,0.007624,0.007624,0.007624
50,713.437,2.13817,1.93958,1.48372,0.41509,0.45588,0.45879,0.14124,2.11253,2.94494,1.49039,0.0075745,0.0075745,0.0075745
51,727.642,2.19687,1.70814,1.4239,0.31086,0.64706,0.41769,0.13171,2.03787,2.04492,1.4612,0.007525,0.007525,0.007525
52,741.906,2.37341,1.63852,1.51811,0.37816,0.61765,0.46952,0.15695,1.91485,1.7733,1.39595,0.0074755,0.0074755,0.0074755
53,754.223,2.16444,1.64026,1.44472,0.5363,0.48529,0.4412,0.15821,1.98134,1.72595,1.46085,0.007426,0.007426,0.007426
54,764.812,2.13922,1.6287,1.35446,0.47947,0.54412,0.42497,0.15176,2.0973,1.92852,1.54564,0.0073765,0.0073765,0.0073765
55,778.217,2.35346,1.65162,1.43031,0.58416,0.51649,0.5057,0.191,2.14408,2.2158,1.55712,0.007327,0.007327,0.007327
56,792.568,2.39046,1.64737,1.45828,0.59799,0.54412,0.55199,0.20489,2.12015,2.41605,1.52309,0.0072775,0.0072775,0.0072775
57,806.885,2.18521,1.87554,1.46724,0.48446,0.60294,0.51412,0.18432,2.11012,2.88794,1.50445,0.007228,0.007228,0.007228
58,821.474,2.10789,1.64091,1.3692,0.47861,0.60294,0.49877,0.1718,2.09924,2.69988,1.47951,0.0071785,0.0071785,0.0071785
59,837.02,2.11859,1.84284,1.41416,0.52623,0.55882,0.50644,0.18031,2.0707,1.96428,1.44163,0.007129,0.007129,0.007129
60,852.59,2.06857,1.70241,1.36853,0.48525,0.5407,0.49007,0.18759,2.00475,1.74337,1.40367,0.0070795,0.0070795,0.0070795
61,868.285,2.20804,1.70971,1.40756,0.45124,0.58824,0.4794,0.1942,1.93005,1.71143,1.36284,0.00703,0.00703,0.00703
62,883.147,2.11429,1.63,1.35804,0.44039,0.59024,0.49832,0.21535,1.92739,1.76142,1.35727,0.0069805,0.0069805,0.0069805
63,897.27,2.05062,1.66149,1.37731,0.51954,0.55659,0.53211,0.2136,2.01841,1.82135,1.38259,0.006931,0.006931,0.006931
64,911.404,2.10385,1.60416,1.40365,0.49816,0.51097,0.51793,0.22279,1.96553,1.70989,1.36562,0.0068815,0.0068815,0.0068815
65,925.516,2.02629,1.51792,1.34999,0.61632,0.45588,0.54824,0.22824,1.91037,1.54725,1.34535,0.006832,0.006832,0.006832
66,939.569,2.15034,1.6194,1.37361,0.58158,0.5,0.56277,0.23276,1.82149,1.43131,1.31719,0.0067825,0.0067825,0.0067825
67,953.816,2.15391,1.40512,1.39885,0.5271,0.61765,0.53746,0.2277,1.80776,1.3524,1.30836,0.006733,0.006733,0.006733
68,968,2.07053,1.48567,1.26862,0.44658,0.72059,0.47672,0.21157,1.86203,1.36956,1.30905,0.0066835,0.0066835,0.0066835
69,982.167,2.0268,1.64742,1.42185,0.4897,0.73529,0.45583,0.19017,1.96578,1.48401,1.35317,0.006634,0.006634,0.006634
